Trajectories
200
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,355.904205,61.108917,809.580322,338.221619,54.509377,883.602966,344.663940,120.067657,851.519958,344.025208,206.564514,813.908752,,,,348.622772,432.397980,799.761780,304.592285,429.997681,840.814026,310.102203,328.202301,853.108032,340.731232,519.354065,854.479248
2,0,303.067352,-45.123787,923.552368,355.912933,61.101765,809.532715,338.243835,54.525501,883.557739,344.702057,120.084145,851.450012,344.076843,206.586609,813.807983,,,,348.647369,432.427307,799.603638,304.640747,430.030060,840.675232,310.166931,328.233704,852.984070,340.780182,519.386475,854.299561
3,0,303.069458,-45.115788,923.550232,355.922150,61.093594,809.481750,338.266907,54.541954,883.509827,344.741699,120.100533,851.375916,344.130615,206.608231,813.700928,,,,348.672546,432.456299,799.436035,304.690613,430.062164,840.527527,310.233917,328.265137,852.852295,340.830292,519.418762,854.109497
4,0,303.071655,-45.107388,923.548035,355.931915,61.084377,809.427307,338.290771,54.558712,883.459106,344.782898,120.116806,851.297485,344.186554,206.629288,813.587219,,,,348.698273,432.484741,799.258667,304.741791,430.093964,840.370605,310.303284,328.296539,852.712585,340.881653,519.450806,853.908875
5,0,303.073883,-45.098576,923.545532,355.942230,61.074062,809.369507,338.315460,54.575783,883.405579,344.825562,120.132919,851.214661,344.244720,206.649765,813.466919,,,,348.724579,432.512604,799.071228,304.794434,430.125458,840.204224,310.374939,328.327972,852.564697,340.934113,519.482422,853.697388
6,0,303.076202,-45.089348,923.542908,355.953033,61.062592,809.307861,338.340942,54.593143,883.348999,344.869812,120.148819,851.127136,344.305145,206.669540,813.339600,,,,348.751404,432.539917,798.873535,304.848358,430.156403,840.028137,310.449036,328.359344,852.408325,340.987793,519.513733,853.474670
7,0,303.078613,-45.079693,923.540039,355.964447,61.049934,809.242615,338.367249,54.610786,883.289429,344.915680,120.164513,851.035034,344.367859,206.688553,813.205139,,,,348.778748,432.566467,798.665344,304.903748,430.186859,839.842102,310.525452,328.390503,852.243408,341.042633,519.544556,853.240356
8,0,303.081116,-45.069607,923.537109,355.976471,61.036030,809.173401,338.394440,54.628704,883.226807,344.963165,120.179924,850.938171,344.432953,206.706741,813.063293,,,,348.806641,432.592224,798.446167,304.960388,430.216736,839.645691,310.604309,328.421539,852.069641,341.098572,519.574829,852.994385
9,0,303.083679,-45.059067,923.533997,355.989075,61.020836,809.100220,338.422424,54.646881,883.160950,345.012207,120.195030,850.836243,344.500366,206.724030,812.914001,,,,348.835083,432.617126,798.216003,305.018463,430.245911,839.438721,310.685577,328.452301,851.886658,341.155640,519.604431,852.736267
10,0,303.086334,-45.048077,923.530640,356.002228,61.004299,809.022888,338.451233,54.665298,883.091858,345.062927,120.209793,850.729248,344.570190,206.740341,812.757080,,,,348.863922,432.641022,797.974304,305.077820,430.274292,839.220947,310.769257,328.482727,851.694397,341.213806,519.633484,852.465881
11,0,303.089050,-45.036613,923.527100,356.016083,60.986362,808.941345,338.480988,54.683949,883.019409,345.115326,120.224159,850.617065,344.642365,206.755585,812.592102,,,,348.893250,432.663910,797.720886,305.138519,430.301819,838.992065,310.855408,328.512756,851.492432,341.273010,519.661621,852.182800
12,0,303.091888,-45.024685,923.523438,356.030518,60.966980,808.855591,338.511536,54.702816,882.943481,345.169403,120.238083,850.499573,344.717041,206.769653,812.419006,,,,348.923065,432.685669,797.455566,305.200531,430.328400,838.751648,310.944031,328.542389,851.280701,341.333221,519.688904,851.886719
13,0,303.094818,-45.012272,923.519409,356.045624,60.946095,808.765320,338.542938,54.721878,882.864075,345.225128,120.251518,850.376465,344.794220,206.782501,812.237549,,,,348.953247,432.706146,797.177979,305.263794,430.353912,838.499634,311.035095,328.571411,851.058838,341.394409,519.715271,851.577515
14,0,303.097748,-44.999371,923.515320,356.061432,60.923656,808.670532,338.575226,54.741112,882.781006,345.282562,120.264435,850.247925,344.873840,206.794037,812.047668,,,,348.983826,432.725281,796.887756,305.328308,430.378326,838.235596,311.128693,328.599854,850.826538,341.456543,519.740540,851.254822
15,0,303.100861,-44.985977,923.510986,356.077850,60.899601,808.571045,338.608398,54.760506,882.694275,345.341675,120.276756,850.113586,344.956055,206.804092,811.849060,,,,349.014771,432.742950,796.584717,305.394043,430.401459,837.959351,311.224762,328.627563,850.583862,341.519562,519.764526,850.918213
16,0,303.104004,-44.972065,923.506348,356.095001,60.873878,808.466736,338.642426,54.780033,882.603882,345.402557,120.288429,849.973389,345.040771,206.812653,811.641418,,,,349.046051,432.759003,796.268555,305.461029,430.423187,837.670532,311.323303,328.654510,850.330200,341.583496,519.787354,850.567566
17,0,303.107300,-44.957653,923.501465,356.112793,60.846424,808.357605,338.677307,54.799667,882.509521,345.465149,120.299416,849.827087,345.128052,206.819550,811.424744,,,,349.077576,432.773438,795.939087,305.529114,430.443512,837.368835,311.424377,328.680511,850.065552,341.648193,519.808777,850.202637
18,0,303.110657,-44.942711,923.496399,356.131317,60.817184,808.243469,338.713104,54.819389,882.411194,345.529510,120.309631,849.674683,345.217957,206.824707,811.198669,,,,349.109406,432.786011,795.595825,305.598389,430.462280,837.054199,311.527924,328.705566,849.789551,341.713654,519.828613,849.822998
19,0,303.114105,-44.927238,923.491150,356.150574,60.786102,808.124207,338.749786,54.839172,882.308838,345.595612,120.319023,849.516052,345.310455,206.828003,810.963074,,,,349.141510,432.796722,795.238586,305.668701,430.479279,836.726074,311.633972,328.729553,849.501953,341.779877,519.846802,849.428345
20,0,303.117706,-44.911236,923.485535,356.170502,60.753105,807.999756,338.787384,54.858986,882.202393,345.663452,120.327522,849.350952,345.405579,206.829330,810.717773,,,,349.173767,432.805298,794.867188,305.740112,430.494446,836.384216,311.742554,328.752319,849.202698,341.846771,519.863281,849.018555
