Trajectories
200
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,342.243591,65.937843,817.770569,321.530060,62.598988,891.355164,330.032867,126.157089,855.169983,331.632263,210.931396,813.173767,,,,321.722809,436.577972,793.878845,275.859344,433.478363,832.577393,288.634918,331.875977,848.058472,314.197052,522.017212,847.022949
2,0,285.586853,-37.485561,935.320190,342.244873,65.928711,817.767578,321.535889,62.588543,891.347168,330.036926,126.147240,855.164001,331.635498,210.919220,813.167175,,,,321.735260,436.565979,793.871948,275.874878,433.471375,832.574280,288.646240,331.864502,848.052917,314.221375,522.005371,847.011414
3,0,285.592407,-37.496174,935.310608,342.246185,65.919411,817.764771,321.541779,62.577778,891.339233,330.041077,126.137138,855.158264,331.638702,210.906830,813.161133,,,,321.747986,436.553864,793.865784,275.890686,433.464355,832.572266,288.657745,331.852753,848.048035,314.246185,521.993347,847.000854
4,0,285.598114,-37.507153,935.300842,342.247589,65.909950,817.762146,321.547821,62.566677,891.331421,330.045288,126.126793,855.152710,331.641754,210.894302,813.155579,,,,321.760986,436.541595,793.860535,275.906677,433.457123,832.571411,288.669434,331.840790,848.043823,314.271423,521.980896,846.991272
5,0,285.604034,-37.518501,935.291016,342.249023,65.900337,817.759705,321.553986,62.555237,891.323730,330.049500,126.116219,855.147461,331.644775,210.881561,813.150757,,,,321.774170,436.529205,793.856323,275.922913,433.449799,832.571655,288.681366,331.828522,848.040405,314.297089,521.968140,846.982910
6,0,285.610016,-37.530228,935.281128,342.250549,65.890572,817.757507,321.560272,62.543472,891.316284,330.053711,126.105385,855.142578,331.647644,210.868652,813.146484,,,,321.787567,436.516724,793.852905,275.939362,433.442383,832.573303,288.693390,331.816071,848.037781,314.323120,521.955017,846.975647
7,0,285.616180,-37.542332,935.271057,342.252167,65.880669,817.755493,321.566650,62.531376,891.308960,330.058014,126.094330,855.138062,331.650421,210.855621,813.142822,,,,321.801117,436.504211,793.850647,275.955994,433.434845,832.576172,288.705627,331.803345,848.035950,314.349609,521.941650,846.969604
8,0,285.622528,-37.554817,935.260925,342.253845,65.870621,817.753845,321.573120,62.518948,891.301819,330.062256,126.083046,855.133789,331.653015,210.842422,813.139954,,,,321.814911,436.491577,793.849548,275.972839,433.427185,832.580444,288.718018,331.790436,848.035095,314.376465,521.928101,846.964966
9,0,285.628998,-37.567680,935.250793,342.255554,65.860466,817.752319,321.579681,62.506184,891.294861,330.066559,126.071526,855.129883,331.655518,210.829102,813.137817,,,,321.828857,436.478882,793.849609,275.989838,433.419434,832.586182,288.730499,331.777313,848.035095,314.403717,521.914062,846.961670
