Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,121.470955,-79.185013,933.531433,168.032028,31.357273,816.159058,150.626785,24.353037,890.469116,152.218796,90.151047,856.309448,144.316498,174.974762,815.44342,,,,141.558121,401.062439,794.291504,99.224091,396.301605,836.169189,109.20018,296.539337,852.7854,131.068741,484.085693,853.938721
21,0,121.474808,-79.155769,933.505737,168.061935,31.298443,815.945557,150.658752,24.379227,890.282898,152.288101,90.145424,856.025696,144.400635,174.926895,815.003479,,,,141.606247,401.004059,793.621338,99.295837,396.275604,835.519592,109.307922,296.540588,852.244141,131.125259,484.07486,853.182922
22,0,121.478867,-79.126236,933.479614,168.093521,31.235651,815.725952,150.692245,24.404535,890.091003,152.360077,90.137238,855.733154,144.488876,174.874542,814.550842,,,,141.654587,400.940704,792.932495,99.368935,396.244995,834.852539,109.419121,296.538239,851.687195,131.182449,484.059784,852.407349
23,0,121.483124,-79.096436,933.452942,168.126785,31.168764,815.500122,150.727234,24.428871,889.893433,152.434799,90.126373,855.431641,144.581207,174.817581,814.085205,,,,141.703094,400.872192,792.224854,99.443336,396.209534,834.167847,109.533829,296.531952,851.114563,131.24028,484.040192,851.611877
24,0,121.487602,-79.066399,933.426025,168.161819,31.097643,815.268188,150.763779,24.45215,889.690186,152.512283,90.112694,855.121155,144.67778,174.755737,813.606567,,,,141.751785,400.79834,791.498169,99.519028,396.169037,833.465454,109.652084,296.521606,850.526001,131.298676,484.01593,850.796326
25,0,121.492279,-79.036148,933.398621,168.198654,31.022154,815.029846,150.801926,24.474281,889.481079,152.59259,90.096039,854.801514,144.778656,174.688843,813.114685,,,,141.800552,400.718933,790.752441,99.595978,396.123199,832.745239,109.773933,296.506927,849.921326,131.357635,483.986755,849.960876
26,0,121.4972,-79.005714,933.37085,168.237366,30.942152,814.785156,150.841705,24.495173,889.266113,152.675781,90.076286,854.472717,144.883896,174.61673,812.609558,,,,141.849365,400.633728,789.987671,99.674156,396.071777,832.007202,109.899391,296.487762,849.300598,131.417099,483.952423,849.105225
27,0,121.502342,-78.975143,933.342712,168.277939,30.857498,814.534241,150.883163,24.51473,889.045288,152.761902,90.053284,854.134644,144.993637,174.539139,812.090881,,,,141.898178,400.542542,789.203613,99.753532,396.014648,831.251343,110.028511,296.463745,848.663635,131.47699,483.912689,848.229553
28,0,121.507721,-78.944443,933.31427,168.320435,30.768045,814.276794,150.926315,24.532856,888.81842,152.851013,90.026871,853.787048,145.10791,174.455872,811.558655,,,,141.94696,400.44516,788.400391,99.834053,395.951477,830.477417,110.161324,296.434784,848.010254,131.537262,483.867249,847.333679
29,0,121.513329,-78.913658,933.285522,168.364929,30.673651,814.013,150.971237,24.54945,888.585632,152.943146,89.996887,853.430054,145.226852,174.36673,811.012756,,,,141.995605,400.341339,787.57782,99.915703,395.882019,829.685486,110.297867,296.400543,847.340271,131.597855,483.815979,846.417603
30,0,121.519188,-78.882835,933.25647,168.411438,30.574163,813.742676,151.017899,24.564409,888.346741,153.038361,89.963196,853.063477,145.35051,174.2715,810.453064,,,,142.044144,400.230896,786.735901,99.998444,395.80603,828.875549,110.438156,296.36084,846.653809,131.658752,483.758484,845.481262
31,0,121.525284,-78.85199,933.227173,168.460007,30.469431,813.465881,151.066406,24.577633,888.101685,153.136734,89.925621,852.687195,145.478989,174.169907,809.879333,,,,142.092438,400.113556,785.874634,100.082222,395.723297,828.047424,110.582214,296.315338,845.950745,131.719833,483.69458,844.524841
32,0,121.531647,-78.821159,933.197632,168.510727,30.359304,813.182617,151.116776,24.589006,887.850525,153.238235,89.884003,852.301208,145.612366,174.061783,809.291687,,,,142.140472,399.989105,784.993896,100.167007,395.633423,827.201294,110.73008,296.263885,845.230774,131.781067,483.623962,843.548218
33,0,121.538277,-78.79039,933.167847,168.563583,30.243628,812.892761,151.169022,24.598423,887.593018,153.342987,89.838173,851.905273,145.750702,173.946869,808.689758,,,,142.188202,399.857269,784.093811,100.252731,395.536316,826.337158,110.881775,296.206055,844.493896,131.842422,483.546387,842.551514
34,0,121.545166,-78.759697,933.138,168.618683,30.122242,812.596375,151.223175,24.605778,887.329407,153.450989,89.787949,851.499573,145.894104,173.824951,808.073669,,,,142.235596,399.717896,783.174194,100.339386,395.43158,825.454773,111.037308,296.141754,843.740295,131.903778,483.461548,841.534729
