Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1355,0,98.089027,-104.231415,966.368225,175.699448,-2.292858,847.125977,152.787033,-5.529946,923.739319,173.941528,55.064003,886.392883,188.923599,142.930237,845.474548,,,,144.796707,330.578186,939.860596,111.842384,302.128571,980.280945,142.973221,218.691803,936.843872,151.40831,385.912323,1019.664429
1356,0,98.051903,-103.762367,966.187622,175.211304,-1.10715,847.525024,152.303177,-4.741589,924.106506,173.158157,56.16597,887.087708,187.717911,144.209885,846.47052,,,,144.975067,332.990112,939.089722,111.784576,305.070892,979.601868,142.316406,221.037216,937.151489,151.549118,388.770203,1018.651611
1357,0,98.016914,-103.28817,966.003357,174.722946,0.07209,847.913757,151.820541,-3.953056,924.461731,172.375519,57.262154,887.766541,186.511551,145.475235,847.442627,,,,145.158417,335.376953,938.280457,111.732178,307.99054,978.88269,141.662506,223.366043,937.427002,151.690216,391.60672,1017.596863
1358,0,97.983994,-102.80909,965.81543,174.234543,1.24445,848.29187,151.33931,-3.164621,924.804871,171.593994,58.352234,888.429016,185.305115,146.726028,848.390076,,,,145.346558,337.737732,937.433228,111.68512,310.886322,978.123779,141.011826,225.677444,937.670288,151.831451,394.420746,1016.50061
1359,0,97.953056,-102.325378,965.624084,173.746307,2.409509,848.65918,150.859665,-2.376567,925.135742,170.81395,59.435894,889.074829,184.099365,147.961945,849.312805,,,,145.539307,340.071625,936.548584,111.643303,313.75705,977.3255,140.364609,227.97052,937.881165,151.972656,397.211212,1015.36322
1360,0,97.924057,-101.837349,965.429443,173.258469,3.566835,849.015442,150.381836,-1.589187,925.454163,170.035736,60.512802,889.703491,182.894897,149.18277,850.210022,,,,145.736465,342.377625,935.626831,111.606628,316.601532,976.488281,139.72113,230.244492,938.059448,152.113663,399.97699,1014.185425
1361,0,97.896896,-101.345261,965.231628,172.771225,4.715989,849.360352,149.905975,-0.802779,925.76001,169.25975,61.582634,890.31488,181.692444,150.388184,851.08136,,,,145.93782,344.654938,934.668579,111.574966,319.418671,975.612488,139.081665,232.498459,938.205017,152.254303,402.71701,1012.96759
1362,0,97.871521,-100.849419,965.030823,172.284851,5.856522,849.693665,149.432312,-0.017651,926.053284,168.486404,62.645035,890.908508,180.492722,151.577927,851.926575,,,,146.143097,346.902771,933.674438,111.548218,322.207153,974.69873,138.446518,234.731552,938.31781,152.394379,405.430206,1011.710632
1363,0,97.847855,-100.350128,964.827271,171.799576,6.987977,850.015137,148.96106,0.765882,926.333679,167.716034,63.699654,891.484009,179.296417,152.751694,852.744995,,,,146.352051,349.120148,932.645081,111.526207,324.965912,973.747437,137.815933,236.942963,938.397827,152.533707,408.115417,1010.414978
1364,0,97.825844,-99.847672,964.621033,171.315598,8.109893,850.324707,148.492416,1.5475,926.601196,166.949097,64.746124,892.04126,178.104263,153.909256,853.536316,,,,146.564468,351.306274,931.580872,111.508781,327.693817,972.759216,137.190186,239.131805,938.444824,152.672104,410.771606,1009.08136
1365,0,97.80542,-99.342392,964.412292,170.833145,9.221797,850.621887,148.026581,2.326873,926.855591,166.185959,65.784088,892.579651,176.916992,155.050262,854.300049,,,,146.78006,353.460449,930.482727,111.495766,330.389801,971.734619,136.569534,241.297256,938.458984,152.809326,413.397736,1007.710693
1366,0,97.786491,-98.834595,964.201172,170.352509,10.323215,850.906616,147.563812,3.103667,927.096863,165.427063,66.813187,893.099182,175.735306,156.174484,855.035828,,,,146.99852,355.581909,929.351379,111.486984,333.052643,970.674377,135.954224,243.438477,938.440125,152.945145,415.992767,1006.30365
1367,0,97.769012,-98.324615,963.987915,169.873871,11.413667,851.17865,147.10434,3.877539,927.324829,164.672791,67.833015,893.599182,174.559982,157.281601,855.743347,,,,147.219589,357.6698,928.187378,111.482254,335.681335,969.579224,135.344513,245.554657,938.38855,153.079407,418.555664,1004.861206
1368,0,97.752922,-97.812798,963.772705,169.397537,12.492663,851.437805,146.648346,4.648144,927.53949,163.923584,68.843193,894.079712,173.391708,158.371353,856.422119,,,,147.442932,359.723511,926.991638,111.481354,338.274872,968.449707,134.740631,247.644974,938.304016,153.211823,421.08548,1003.384094
1369,0,97.738144,-97.299454,963.555664,168.923737,13.559719,851.683716,146.196091,5.415129,927.740723,163.179886,69.843361,894.540222,172.231277,159.443466,857.071838,,,,147.668289,361.742279,925.764893,111.48407,340.832123,967.286621,134.142883,249.708588,938.186829,153.342178,423.581177,1001.873474
1370,0,97.72464,-96.784958,963.336975,168.452698,14.614341,851.916504,145.747833,6.178137,927.928467,162.442108,70.833107,894.980591,171.079391,160.497681,857.6922,,,,147.895309,363.725586,924.508179,111.490196,343.352173,966.090942,133.551453,251.744781,938.036987,153.470215,426.041901,1000.330078
1371,0,97.712334,-96.269646,963.117004,167.984711,15.656037,852.135742,145.303802,6.93681,928.1026,161.710663,71.812057,895.400574,169.936813,161.533691,858.282776,,,,148.123657,365.672668,923.222168,111.499496,345.833984,964.863342,132.966599,253.752731,937.854675,153.595764,428.466644,998.755127
1372,0,97.70118,-95.75386,962.895691,167.520035,16.684317,852.34137,144.864197,7.690783,928.263123,160.986023,72.779808,895.799805,168.804291,162.551285,858.843384,,,,148.353027,367.583099,921.90802,111.511711,348.276703,963.604858,132.388535,255.731735,937.640137,153.718506,430.854523,997.149658
1373,0,97.691109,-95.237968,962.673218,167.058899,17.698683,852.533142,144.429321,8.439692,928.409851,160.268585,73.73597,896.177979,167.68248,163.550186,859.373718,,,,148.583054,369.456238,920.566406,111.526642,350.679413,962.316223,131.817505,257.680969,937.393555,153.838226,433.204742,995.514709
1374,0,97.682114,-94.722336,962.449951,166.601624,18.698658,852.71106,143.999405,9.183171,928.54303,159.558823,74.680168,896.535156,166.572205,164.530121,859.873535,,,,148.813446,371.291595,919.198425,111.544006,353.04129,960.998474,131.253754,259.599823,937.115173,153.954681,435.516449,993.85144
1375,0,97.67411,-94.207314,962.225952,166.148453,19.683752,852.874939,143.574677,9.920854,928.662354,158.857132,75.612,896.870911,165.474091,165.490906,860.34259,,,,149.043808,373.088806,917.805176,111.563553,355.36142,959.652649,130.697464,261.48761,936.805359,154.067657,437.788849,992.161072
1376,0,97.667076,-93.69326,962.001465,165.699692,20.653494,853.024658,143.15538,10.652372,928.767944,158.164001,76.531113,897.185059,164.38887,166.432312,860.780579,,,,149.273865,374.847382,916.387695,111.585052,357.63916,958.279724,130.148849,263.343597,936.464233,154.176865,440.021179,990.444946
1377,0,97.660957,-93.18055,961.776611,165.255554,21.607412,853.160034,142.741806,11.377366,928.85968,157.479813,77.437111,897.4776,163.31723,167.354111,861.187622,,,,149.503235,376.566956,914.946777,111.608223,359.87381,956.880676,129.608139,265.167236,936.092407,154.282074,442.21286,988.704102
1378,0,97.655754,-92.669548,961.551514,164.816391,22.545052,853.281006,142.334137,12.095471,928.937622,156.804977,78.32962,897.748352,162.259857,168.256119,861.563354,,,,149.731583,378.247223,913.483765,111.632828,362.064606,955.456726,129.075531,266.957977,935.690063,154.383072,444.363159,986.93988
1379,0,97.65139,-92.160591,961.326416,164.382462,23.465967,853.387634,141.932648,12.806332,929.001831,156.139969,79.208313,897.99707,161.217407,169.138138,861.907776,,,,149.958588,379.888,911.999573,111.658592,364.210999,954.008789,128.551208,268.715179,935.25769,154.479614,446.471466,985.153748
1380,0,97.647873,-91.654053,961.10144,163.954041,24.369726,853.479858,141.537613,13.509592,929.052185,155.485153,80.072823,898.223755,160.19046,170,862.220764,,,,150.183899,381.488983,910.495422,111.685287,366.312378,952.538147,128.03537,270.438354,934.795654,154.571457,448.537262,983.346802
1381,0,97.64518,-91.150299,960.876831,163.531403,25.255915,853.557495,141.1492,14.204906,929.088806,154.840942,80.922813,898.428345,159.179718,170.841583,862.502258,,,,150.407272,383.049957,908.97229,111.712662,368.368347,951.045837,127.528191,272.127045,934.304565,154.658401,450.560059,981.520447
1382,0,97.643265,-90.649673,960.652588,163.114868,26.124136,853.620605,140.76767,14.891934,929.111755,154.207703,81.757973,898.610718,158.185669,171.662735,862.752441,,,,150.628326,384.570923,907.431396,111.740486,370.378448,949.532898,127.029839,273.780792,933.784912,154.740265,452.539398,979.676147
1383,0,97.642128,-90.152512,960.429016,162.704681,26.974014,853.669189,140.39325,15.570344,929.121094,153.585831,82.577965,898.770935,157.208984,172.463348,862.971191,,,,150.846802,386.051758,905.87384,111.768517,372.342224,948.000732,126.540482,275.399261,933.237183,154.816788,454.474854,977.815002
1384,0,97.641769,-89.659164,960.206177,162.301132,27.805199,853.703247,140.026123,16.239819,929.11676,152.975647,83.382538,898.908997,156.250122,173.243301,863.158569,,,,151.062424,387.492401,904.300659,111.796539,374.25943,946.450317,126.06031,276.982056,932.661804,154.887848,456.366241,975.938599
1385,0,97.642151,-89.169968,959.984192,161.90451,28.617353,853.7229,139.666565,16.900038,929.098999,152.377533,84.171394,899.024902,155.309616,174.002548,863.314941,,,,151.274902,388.892853,902.713135,111.824371,376.129791,944.882812,125.589417,278.528961,932.05957,154.953262,458.213165,974.048218
1386,0,97.643295,-88.685242,959.763245,161.515091,29.410177,853.728149,139.314682,17.550711,929.06781,151.791733,84.94426,899.118713,154.38797,174.740982,863.440186,,,,151.483994,390.253296,901.112183,111.851791,377.953033,943.299377,125.127983,280.039642,931.43103,155.012863,460.015472,972.14502
1387,0,97.645187,-88.205307,959.543457,161.133102,30.183395,853.719116,138.970718,18.191547,929.023315,151.218628,85.700928,899.190491,153.48558,175.458618,863.534607,,,,151.689453,391.573761,899.499023,111.878624,379.729065,941.701172,124.676125,281.513855,930.776794,155.066498,461.772949,970.230469
1388,0,97.64782,-87.730476,959.324951,160.758789,30.936754,853.695923,138.634842,18.822279,928.965637,150.658432,86.441162,899.240417,152.602921,176.155411,863.598511,,,,151.891098,392.85437,897.874573,111.904709,381.457764,940.089417,124.233971,282.951569,930.097473,155.11412,463.485535,968.305847
1389,0,97.651207,-87.261032,959.107727,160.392441,31.670038,853.65863,138.30722,19.442642,928.894958,150.111389,87.164757,899.268677,151.740341,176.831329,863.632141,,,,152.088654,394.095337,896.240112,111.929901,383.139191,938.465088,123.801628,284.352539,929.393799,155.155563,465.153198,966.372314
1390,0,97.655357,-86.797256,958.892029,160.034286,32.383053,853.607361,137.987961,20.052393,928.81134,149.577774,87.871552,899.275391,150.898209,177.486435,863.635803,,,,152.282013,395.296875,894.596497,111.954048,384.773254,936.829346,123.379204,285.716736,928.666382,155.190826,466.775879,964.431213
1391,0,97.660255,-86.339447,958.677979,159.684509,33.075649,853.542358,137.677216,20.651308,928.714905,149.05777,88.561363,899.26062,150.076813,178.120697,863.609802,,,,152.471008,396.459259,892.944946,111.977036,386.360016,935.18335,122.966789,287.044159,927.916016,155.219772,468.353729,962.483704
1392,0,97.665939,-85.887833,958.465576,159.343338,33.747692,853.463867,137.375137,21.239176,928.606018,148.551559,89.234077,899.224854,149.276413,178.734222,863.554565,,,,152.655472,397.582733,891.286255,111.998749,387.899689,933.528076,122.564468,288.334778,927.14325,155.242447,469.886749,960.531006
1393,0,97.672401,-85.442688,958.254944,159.010925,34.399078,853.372009,137.081772,21.815802,928.484863,148.059296,89.88958,899.168335,148.497314,179.327072,863.47052,,,,152.835312,398.667725,889.62146,112.019104,389.392426,931.864624,122.172318,289.588654,926.348999,155.258789,471.375153,958.574097
1394,0,97.679657,-85.004234,958.046204,158.687485,35.029747,853.267029,136.797256,22.381008,928.35144,147.58107,90.527763,899.091125,147.73967,179.899307,863.358093,,,,153.010391,399.714417,887.951477,112.03804,390.838379,930.194031,121.79039,290.805908,925.533813,155.268845,472.819092,956.61438
1395,0,97.687729,-84.572685,957.839294,158.373184,35.639652,853.149109,136.521622,22.934633,928.206177,147.117065,91.148582,898.993652,147.003632,180.451004,863.217834,,,,153.18071,400.723267,886.277405,112.055473,392.237915,928.517212,121.418755,291.986572,924.698608,155.272659,474.218811,954.652527
1396,0,97.696617,-84.148254,957.634583,158.0681,36.22879,853.018433,136.254974,23.476538,928.049316,146.667282,91.751984,898.876404,146.289398,180.98233,863.05011,,,,153.34613,401.694641,884.599976,112.071381,393.591248,926.835144,121.057449,293.130859,923.843994,155.270325,475.574615,952.689941
1397,0,97.706337,-83.73114,957.431824,157.7724,36.797184,852.875549,135.997345,24.006592,927.880859,146.231827,92.337944,898.739563,145.597,181.493408,862.85553,,,,153.506699,402.628998,882.920044,112.085732,394.898773,925.148804,120.706512,294.238983,922.970703,155.261887,476.88681,950.727295
1398,0,97.716911,-83.321495,957.231323,157.486206,37.344883,852.720398,135.748734,24.524693,927.701416,145.810715,92.906448,898.583618,144.926529,181.984329,862.634644,,,,153.662323,403.526703,881.238525,112.098518,396.160858,923.458984,120.365959,295.311188,922.079407,155.247528,478.155701,948.765625
1399,0,97.728348,-82.919518,957.033081,157.209549,37.87196,852.553467,135.509155,25.030745,927.510986,145.403931,93.457527,898.408813,144.27803,182.455322,862.388062,,,,153.813049,404.388214,879.55603,112.109764,397.37793,921.766663,120.035843,296.347656,921.170959,155.227356,479.381683,946.805725
1400,0,97.740669,-82.525314,956.837158,156.94252,38.378521,852.375,135.27861,25.524675,927.309937,145.01149,93.991196,898.215698,143.65152,182.906494,862.116333,,,,153.958908,405.21405,877.873474,112.119476,398.550476,920.072632,119.716141,297.348694,920.246033,155.201614,480.565216,944.84845
1401,0,97.753899,-82.139038,956.643616,156.685165,38.864685,852.185364,135.057114,26.00643,927.098511,144.633331,94.507545,898.004761,143.046921,183.338043,861.820007,,,,154.099884,406.004639,876.191467,112.127708,399.678986,918.377563,119.406868,298.314667,919.305237,155.170425,481.706635,942.894653
1402,0,97.768028,-81.760811,956.452576,156.4375,39.330593,851.984802,134.844604,26.475965,926.877075,144.26944,95.006615,897.776306,142.464203,183.750183,861.499695,,,,154.236053,406.760468,874.51062,112.134506,400.763855,916.682434,119.10804,299.24585,918.349487,155.134094,482.806519,940.944885
1403,0,97.783096,-81.390724,956.264038,156.19957,39.776417,851.773621,134.641037,26.933256,926.645935,143.919693,95.48851,897.530762,141.903305,184.143112,861.156006,,,,154.367447,407.482056,872.831787,112.139946,401.805817,914.987793,118.819649,300.1427,917.379333,155.092834,483.865295,938.999939
1404,0,97.799118,-81.028877,956.078064,155.971344,40.202335,851.552124,134.446396,27.378294,926.405334,143.584045,95.953346,897.268738,141.36412,184.517014,860.789612,,,,154.494171,408.169922,871.155334,112.144119,402.805328,913.294373,118.541687,301.005554,916.395386,155.046921,484.883484,937.060364
1405,0,97.816093,-80.675346,955.894714,155.752792,40.608532,851.320679,134.26059,27.811085,926.15564,143.26239,96.40123,896.99054,140.846512,184.872131,860.401062,,,,154.616272,408.824554,869.481873,112.147102,403.763,911.602844,118.274147,301.834747,915.398438,154.996643,485.861603,935.12677
1406,0,97.834068,-80.3302,955.71405,155.543915,40.995232,851.07959,134.083588,28.231646,925.897034,142.954605,96.832298,896.696716,140.350311,185.20871,859.990967,,,,154.733826,409.446594,867.811829,112.148987,404.679413,909.913696,118.017014,302.630798,914.389038,154.942307,486.800232,933.199707
1407,0,97.853035,-79.993477,955.536194,155.344574,41.362652,850.829102,133.915268,28.640007,925.629944,142.660568,97.246696,896.387634,139.875381,185.526962,859.559937,,,,154.846954,410.036469,866.145874,112.14991,405.555267,908.227722,117.770279,303.394165,913.367798,154.884186,487.699921,931.279541
1408,0,97.873032,-79.66523,955.361084,155.1548,41.711021,850.569641,133.755569,29.036222,925.354736,142.380173,97.6446,896.063782,139.421555,185.827133,859.108704,,,,154.955734,410.594849,864.484253,112.149963,406.391235,906.54541,117.533913,304.125244,912.335388,154.822632,488.561279,929.366821
1409,0,97.894066,-79.345459,955.188721,154.974411,42.040585,850.301514,133.604401,29.420341,925.071533,142.113281,98.026154,895.725647,138.988602,186.109512,858.637756,,,,155.060272,411.122162,862.827332,112.149284,407.187866,904.867126,117.30793,304.824554,911.292358,154.75798,489.384888,927.461853
1410,0,97.916153,-79.034187,955.019409,154.803375,42.351601,850.024963,133.461731,29.792437,924.78064,141.859772,98.391563,895.373718,138.576279,186.374313,858.147705,,,,155.16069,411.61911,861.175659,112.147987,407.945953,903.19342,117.092285,305.492584,910.239258,154.690506,490.171356,925.565125
1411,0,97.939331,-78.7314,954.852966,154.641602,42.644321,849.740234,133.327408,30.15259,924.482544,141.619476,98.740997,895.008179,138.184448,186.62178,857.639038,,,,155.257111,412.086151,859.529297,112.146217,408.666168,901.524658,116.886948,306.129791,909.176758,154.62056,490.921356,923.676758
1412,0,97.963608,-78.437111,954.689453,154.488922,42.919029,849.447693,133.201385,30.500885,924.177307,141.392242,99.074654,894.629639,137.812775,186.852234,857.112488,,,,155.349609,412.523956,857.888672,112.144081,409.349152,899.861328,116.69191,306.736694,908.105225,154.548431,491.635468,921.79718
1413,0,97.989014,-78.151276,954.528931,154.3452,43.17598,849.147522,133.083572,30.83742,923.865173,141.177948,99.392731,894.238525,137.461075,187.065872,856.56842,,,,155.438354,412.933014,856.254089,112.141731,409.995605,898.203735,116.507126,307.313873,907.025208,154.474503,492.314362,919.926514
1414,0,98.015579,-77.873878,954.371399,154.210373,43.415462,848.840088,132.973846,31.162304,923.546631,140.97644,99.69545,893.835083,137.129089,187.263,856.007507,,,,155.523438,413.313995,854.625732,112.139282,410.606354,896.552185,116.332565,307.861786,905.937134,154.398987,492.958679,918.065002
1415,0,98.043297,-77.604843,954.216858,154.084259,43.637749,848.525391,132.872162,31.475653,923.221619,140.787582,99.983017,893.419739,136.816498,187.443863,855.430115,,,,155.60498,413.667419,853.003601,112.136871,411.181976,894.906982,116.16819,308.380951,904.841492,154.32225,493.569061,916.212708
1416,0,98.07222,-77.344131,954.065369,153.966736,43.843128,848.203979,132.778442,31.777582,922.890686,140.611221,100.25563,892.992798,136.523102,187.608765,854.836914,,,,155.683121,413.993866,851.388123,112.134605,411.723297,893.268433,116.013962,308.871948,903.738647,154.244553,494.146271,914.369934
1417,0,98.102379,-77.09169,953.916931,153.857651,44.031876,847.875793,132.692566,32.068222,922.553772,140.447174,100.513535,892.554688,136.248566,187.757919,854.228394,,,,155.75798,414.293915,849.779114,112.132614,412.230988,891.636536,115.869804,309.335358,902.62915,154.166183,494.690826,912.536621
1418,0,98.133774,-76.847435,953.771484,153.756836,44.204296,847.541077,132.614456,32.347706,922.211243,140.295334,100.756935,892.105774,135.99263,187.891663,853.604858,,,,155.829636,414.568146,848.176941,112.131012,412.705811,890.01178,115.73568,309.771606,901.513245,154.087387,495.203552,910.712891
1419,0,98.166451,-76.611282,953.629089,153.664185,44.360661,847.200012,132.544067,32.616173,921.863159,140.155502,100.986053,891.646179,135.755035,188.010193,852.966858,,,,155.89827,414.817169,846.581543,112.129913,413.148407,888.393982,115.611511,310.181305,900.391296,154.008423,495.684937,908.898682
1420,0,98.200424,-76.383141,953.489746,153.579529,44.501266,846.852905,132.481293,32.873756,921.509827,140.027603,101.201134,891.176392,135.535446,188.1138,852.314697,,,,155.963989,415.041504,844.992859,112.12941,413.55957,886.783569,115.497246,310.565002,899.263611,153.92952,496.135803,907.094055
1421,0,98.235748,-76.162918,953.353333,153.502747,44.626408,846.499695,132.426086,33.120621,921.151367,139.911392,101.40239,890.696594,135.333649,188.202759,851.649048,,,,156.02684,415.24176,843.411072,112.129616,413.939941,885.180359,115.392799,310.923157,898.130554,153.850876,496.556732,905.298889
1422,0,98.27243,-75.950523,953.219971,153.433701,44.736366,846.140625,132.378296,33.356911,920.787903,139.806808,101.59005,890.207031,135.149292,188.277313,850.970093,,,,156.087006,415.418427,841.836121,112.130608,414.290344,883.584412,115.298096,311.256409,896.992249,153.772736,496.948364,903.513184
1423,0,98.310501,-75.745827,953.089478,153.372208,44.831444,845.775696,132.337891,33.582783,920.419678,139.713608,101.764359,889.70813,134.982101,188.337738,850.278259,,,,156.144562,415.572113,840.2677,112.132477,414.611298,881.995972,115.213051,311.565216,895.849182,153.695282,497.311371,901.736755
1424,0,98.349998,-75.548729,952.961975,153.318207,44.911922,845.405273,132.30481,33.798401,920.046814,139.631699,101.925522,889.19989,134.831772,188.384262,849.573914,,,,156.199585,415.703339,838.705994,112.1353,414.903656,880.414856,115.137573,311.850159,894.701355,153.618698,497.646454,899.969543
1425,0,98.390953,-75.359116,952.837341,153.271576,44.978085,845.029236,132.278885,34.003918,919.669312,139.560913,102.073784,888.6828,134.698059,188.417145,848.857361,,,,156.252228,415.812622,837.150879,112.139153,415.16803,878.840942,115.071564,312.111725,893.54895,153.543106,497.954193,898.211365
1426,0,98.433372,-75.176826,952.715515,153.232147,45.030224,844.647766,132.260132,34.199501,919.287415,139.501068,102.209351,888.156799,134.580643,188.43663,848.128967,,,,156.302521,415.900543,835.602112,112.144096,415.40506,877.274292,115.014915,312.350433,892.392334,153.468689,498.235199,896.462036
1427,0,98.477318,-75.001785,952.596497,153.199829,45.068623,844.260986,132.248367,34.385323,918.901184,139.451996,102.332481,887.622314,134.479233,188.442932,847.388916,,,,156.350601,415.967529,834.059448,112.150185,415.615509,875.714783,114.967545,312.566772,891.231445,153.395538,498.490143,894.721252
1428,0,98.522804,-74.833809,952.480225,153.174545,45.093552,843.868958,132.243576,34.561554,918.510864,139.413559,102.443375,887.079468,134.393555,188.436264,846.637573,,,,156.396515,416.01413,832.522949,112.157478,415.799927,874.16217,114.929329,312.761261,890.066528,153.323807,498.719635,892.988892
1429,0,98.569847,-74.672798,952.366638,153.156189,45.105297,843.471802,132.245621,34.728348,918.116272,139.38559,102.542252,886.528381,134.323318,188.416901,845.875122,,,,156.440338,416.040894,830.992188,112.166008,415.958954,872.616516,114.900131,312.934326,888.897522,153.253586,498.924255,891.264648
1430,0,98.618484,-74.5186,952.255737,153.144684,45.104122,843.069702,132.25441,34.885899,917.717712,139.367905,102.629341,885.96936,134.268219,188.38501,845.101868,,,,156.482178,416.048187,829.467041,112.175827,416.093262,871.077454,114.879875,313.086578,887.72467,153.184937,499.104584,889.548218
1431,0,98.668739,-74.371071,952.147278,153.139938,45.090298,842.662537,132.269836,35.034355,917.315125,139.360352,102.704842,885.402466,134.227997,188.340805,844.318054,,,,156.522049,416.036591,827.947327,112.186943,416.2034,869.544861,114.868385,313.218353,886.548035,153.117935,499.2612,887.839355
1432,0,98.720627,-74.230064,952.041443,153.141876,45.064087,842.250549,132.291809,35.173897,916.908691,139.362732,102.768997,884.827881,134.202347,188.28447,843.523743,,,,156.560059,416.00647,826.432556,112.199394,416.290039,868.018433,114.865578,313.3302,885.367371,153.052673,499.394714,886.137634
1433,0,98.77417,-74.095459,951.938049,153.150391,45.025745,841.833679,132.320221,35.304695,916.498413,139.374908,102.821983,884.245728,134.19104,188.216232,842.719177,,,,156.596268,415.958344,824.922668,112.213181,416.353729,866.498047,114.871284,313.422516,884.183044,152.989151,499.505646,884.442749
1434,0,98.829414,-73.967087,951.836914,153.165482,44.975525,841.412109,132.354996,35.426918,916.084412,139.396667,102.864021,883.656189,134.193741,188.136276,841.904663,,,,156.630692,415.892578,823.417358,112.228302,416.394989,864.983276,114.885376,313.495819,882.99469,152.927399,499.594543,882.754272
1435,0,98.886345,-73.844788,951.738098,153.187027,44.91367,840.985962,132.39595,35.540733,915.666626,139.427872,102.895294,883.059509,134.21022,188.044739,841.0802,,,,156.663437,415.809601,821.916077,112.244774,416.414368,863.473816,114.907715,313.550415,881.802612,152.867462,499.661957,881.071777
1436,0,98.945007,-73.728447,951.641541,153.214996,44.840412,840.555176,132.443024,35.646305,915.2453,139.468292,102.916016,882.455505,134.240173,187.941833,840.245972,,,,156.694489,415.709808,820.418701,112.262581,416.412506,861.969604,114.938156,313.586731,880.606445,152.809326,499.708344,879.39502
1437,0,99.005402,-73.617897,951.547119,153.249298,44.755985,840.119934,132.496124,35.743793,914.820251,139.517807,102.926376,881.844604,134.283371,187.827682,839.4021,,,,156.723923,415.593597,818.924927,112.281708,416.389801,860.469971,114.97654,313.605286,879.406311,152.75296,499.734314,877.72345
1438,0,99.067535,-73.512993,951.454834,153.289886,44.660618,839.680237,132.555084,35.833355,914.391724,139.576233,102.926537,881.226685,134.339478,187.702454,838.548645,,,,156.75177,415.461365,817.434204,112.302147,416.346771,858.974854,115.02272,313.606323,878.202209,152.698364,499.740265,876.056641
1439,0,99.131432,-73.413597,951.36438,153.33667,44.554512,839.236267,132.619812,35.915161,913.959534,139.643341,102.916687,880.601807,134.40831,187.566284,837.685852,,,,156.778046,415.313385,815.946289,112.323845,416.283936,857.483765,115.076538,313.590332,876.993774,152.645508,499.726685,874.394043
1440,0,99.197113,-73.31955,951.27594,153.389664,44.437897,838.787903,132.690201,35.989361,913.523926,139.719009,102.896996,879.970337,134.489563,187.419312,836.81366,,,,156.802811,415.150116,814.460754,112.346794,416.201752,855.996216,115.137833,313.557556,875.781067,152.594345,499.694031,872.735413
1441,0,99.264565,-73.23069,951.189331,153.4487,44.310951,838.335388,132.766129,36.056095,913.084717,139.80307,102.867615,879.332092,134.582993,187.261658,835.932251,,,,156.826096,414.971771,812.977173,112.370941,416.100647,854.511963,115.206451,313.508514,874.563904,152.544815,499.642792,871.080139
1442,0,99.333801,-73.146904,951.10437,153.513824,44.173878,837.878662,132.847488,36.115524,912.642151,139.895309,102.828735,878.687256,134.688354,187.09343,835.041626,,,,156.847885,414.778717,811.495361,112.396255,415.981018,853.03064,115.282219,313.443359,873.342285,152.496841,499.573334,869.427856
1443,0,99.404831,-73.068024,951.021057,153.584885,44.026848,837.417786,132.934189,36.167782,912.196106,139.995575,102.780487,878.035767,134.805344,186.914764,834.141907,,,,156.868225,414.571228,810.014587,112.422691,415.843384,851.551636,115.364975,313.362579,872.115906,152.450394,499.486115,867.777893
1444,0,99.477661,-72.993904,950.939392,153.66185,43.870045,836.95282,133.026047,36.21302,911.746582,140.103714,102.723,877.377869,134.933762,186.725739,833.233032,,,,156.887131,414.349548,808.534729,112.450188,415.68811,850.074768,115.454552,313.266327,870.884644,152.405365,499.3815,866.129822
1445,0,99.552299,-72.924423,950.859253,153.744644,43.703629,836.483704,133.123032,36.251369,911.293579,140.219528,102.656448,876.713318,135.073318,186.526413,832.315125,,,,156.904587,414.114014,807.055237,112.478722,415.515503,848.599487,115.550797,313.155029,869.648438,152.361725,499.259918,864.483154
1446,0,99.628723,-72.859413,950.780457,153.833176,43.52776,836.01062,133.224976,36.282967,910.837097,140.342865,102.580925,876.042542,135.223801,186.316925,831.388245,,,,156.920654,413.864838,805.575745,112.508209,415.325989,847.125366,115.653526,313.028839,868.406982,152.319321,499.121704,862.837463
1447,0,99.706963,-72.798767,950.702942,153.927414,43.34259,835.533569,133.331818,36.307934,910.377258,140.473541,102.496582,875.365173,135.384979,186.097275,830.452271,,,,156.935333,413.602264,804.095764,112.538605,415.119934,845.651978,115.762581,312.888184,867.160339,152.278107,498.967194,861.192139
1448,0,99.786987,-72.74231,950.626709,154.027252,43.148258,835.05249,133.443436,36.326405,909.913818,140.611435,102.403511,874.681458,135.556549,185.867615,829.507263,,,,156.948608,413.326477,802.614929,112.569847,414.897644,844.178955,115.877815,312.733185,865.908081,152.237991,498.796722,859.546753
